Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
IPUAÇU;13;CLORI;PT/PTB / PT / PMDB / PR / PRB / PP / PV;2.786;63,64 %
IPUMIRIM;15;NEI;PMDB/PMDB / PP / PSDB / PSD;2.460;46,56 %
IRACEMINHA;15;JEAN;PMDB/PMDB / PR;2.189;61,47 %
IRANI;15;SIVIO ANTONIO LEMOS DAS NEVES;PMDB/PMDB;3.066;47,73 %
IRATI;15;NEURI MEURER;PMDB/PMDB / DEM / PSDB / PP;982;54,56 %
IRINEÓPOLIS;45;JULIANO;PSDB/PSDB / DEM / PSC / PP;3.607;53,28 %
ITÁ;15;JAIRO;PMDB/PMDB / PP / PSD;2.116;41,39 %
ITAIÓPOLIS;55;REGINALDO FERNANDES;PSD/PSD / PDT / PT / SD / PR;6.594;60,65 %
ITAJAÍ;15;VOLNEI MORASTONI;PMDB/PMDB / PDT / PPS / PEN / PV;38.613;36,62 %
ITAPEMA;55;NILZA SIMAS;PSD/PSD / PR / PP / PDT / PC do B / PV / PEN / PRP / PTC / PROS;14.458;50,27 %
ITAPIRANGA;15;JORGE WELTER;PMDB/PMDB / PSDB / PR;6.328;61,81 %
ITAPOÁ;22;MARLON NEUBER;PR/PRB / PTB / PR / PSB / PEN / PSDB / PTC / PSD / PC do B;6.673;64,94 %
ITUPORANGA;45;LORINHO;PSDB/PP / PSDB / PDT / PR;7.820;51,51 %
JABORÁ;15;KLEBER MERCIO NORA;PMDB/PMDB / PT;2.115;60,58 %
JACINTO MACHADO;15;GAIOLA;PMDB/PMDB / PPS / DEM / PSD / PTB;4.277;51,74 %
JAGUARUNA;15;EDENILSON;PMDB/PMDB / PTB / PR / PSDB;6.455;54,39 %
JARAGUÁ DO SUL;15;ANTIDIO LUNELLI;PMDB/PP / PMDB / PRB / DEM / PC do B / PTB;37.957;44,73 %
JARDINÓPOLIS;11;TCHE;PP/PP / PMDB / PR;898;60,55 %
JOAÇABA;45;DIOCLESIO RAGNINI;PSDB/PSDB / PP;9.439;53,96 %
JOINVILLE;15;* UDO DOHLER;PMDB/PMDB / PV / PC do B / PT do B / PSC / PTC / PROS / PTB;137.700;45,01 %
JOINVILLE;55;* DARCI DE MATOS;PSD/PSD / PSDC / PMB / PSB / PR;84.235;27,53 %
JOSÉ BOITEUX;55;JONAS PUDEWELL;PSD/PSB / PP / PSD;1.175;32,03 %
JUPIÁ;55;AUGUSTO;PSD/PSD / PP / PT / PR / PSDB;1.060;56,03 %
LACERDÓPOLIS;15;SÉRGIO LUIZ CALEGARI;PMDB/PMDB;1.051;55,79 %
LAGES;55;ANTONIO CERON;PSD/PSD / PP / PSB / PSC / PRP / PTN / PROS / SD / PV / PC do B;35.242;38,05 %
LAGUNA;15;MAURO CANDEMIL;PMDB/PMDB / PSD / PV;10.250;38,60 %
LAJEADO GRANDE;55;NOELI DAL MAGRO;PSD/PSD / PP;809;50,12 %
LAURENTINO;45;GILBERTO;PSDB/PSDB / PSL / PP / PSB / PTB;2.583;51,23 %
LAURO MÜLLER;11;VALDIR FONTANELLA;PP/PP / PT / PSB / PSDB;5.537;51,74 %
LEBON RÉGIS;12;DOUGLAS MELLO;PDT/PDT / PMDB / PR / DEM / PRB / PPS / PSD / PTB;4.388;60,99 %
LEOBERTO LEAL;55;VITOR;PSD/PT / PMDB / DEM / PSD;1.435;50,42 %
LINDÓIA DO SUL;22;GENIR LOLI (GENICA);PR/PR;1.825;55,22 %
LONTRAS;15;MARCIONEI HILLESHEIM;PMDB/PMDB / PT;3.600;50,93 %
LUIZ ALVES;45;MARCOS PEDRO VEBER;PSDB/PSDB / PRB / PR;4.737;60,78 %
LUZERNA;55;MOISÉS;PSD/PP / PSD / PR / PSB / PSDB;2.411;56,60 %
MACIEIRA;45;ZECA;PSDB/PSDB / PR / PPS;925;52,56 %
MAFRA;55;WELLINGTON;PSD/PSD / PMDB / PSDB / PTB / PRB / PPS / PSC / PSB / DEM / PDT;27.558;88,19 %
MAJOR GERCINO;45;VALMOR DO PITA;PSDB/PRB / PSDB / PSB / PP;1.634;58,29 %
MAJOR VIEIRA;15;ORILDO SEVERGNINI;PMDB/PMDB / PR / DEM;2.698;52,90 %
MARACAJÁ;45;ARLINDO ROCHA - LALE;PSDB/PP / PSDB;2.550;45,68 %
MARAVILHA;15;ROSIMAR MALDANER;PMDB/PMDB / PSB / SD;7.589;50,71 %
MAREMA;15;BARELLA;PMDB/PT / PR / PMDB / PSB;1.168;55,62 %
MASSARANDUBA;55;DAVIO LEU;PSD/PSD / PP / PT;3.519;100,00 %
MATOS COSTA;13;RAUL;PT/PP / PDT / PMDB / PROS / PT / DEM;1.227;57,85 %
MELEIRO;40;EDER MATTOS;PSB/PSB / PSDB / DEM;2.322;44,25 %
MIRIM DOCE;15;SERGINHO;PMDB/PMDB;1.131;51,64 %
MODELO;15;RICARDO;PMDB/PMDB / PSDB / PP;1.679;53,85 %
MONDAÍ;11;DILE;PP/PP / PR / PSDB / PSD;4.134;62,71 %
MONTE CARLO;45;SONIA VEDOVATTO;PSDB/PSDB / PP / PC do B / PT;3.248;53,71 %
MONTE CASTELO;45;JEAN ADVOGADO;PSDB/PSDB / PSD / PP / PPS / DEM / PT / PSC;3.196;55,92 %
MORRO DA FUMAÇA;11;NOI CORAL;PP/PP;5.201;47,11 %
MORRO GRANDE;55;VALDO;PSD/PP / PSDB / PSD;1.892;67,72 %
NAVEGANTES;45;EMÍLIO VIEIRA;PSDB/PSDB / PSB / PR / PP / PSD;19.639;56,89 %
NOVA ERECHIM;15;NEDIO CASSOL;PMDB/PMDB / PSD;1.846;54,07 %
NOVA ITABERABA;11;PROFESSOR MARCIANO;PP/PP;1.994;54,42 %
NOVA TRENTO;11;GIAN;PP/PP / PSDB / PPS / PSD / DEM / PSB;5.006;58,05 %
NOVA VENEZA;45;ROGERIO FRIGO  (GÉIO);PSDB/PSDB / PDT / PSD;5.403;51,84 %
NOVO HORIZONTE;45;VANDERLEI SANAGIOTTO;PSDB/PP / PSDB / PMDB;1.234;53,61 %
ORLEANS;15;DR. JORGE KOCH;PMDB/PMDB / PSDB / PSB;8.503;54,65 %
OTACÍLIO COSTA;55;TIO LIGAS;PSD/PSD / PT / PP / PDT / PSDB / PROS / PSB / PPS / PRB / PTC;6.225;54,08 %
OURO;55;NERI LUIZ MIQUELOTO;PSD/PMDB / PSDB / PSD;2.520;50,82 %
OURO VERDE;40;JUNIOR;PSB/PSB / PP / PDT / PMDB / PSDB / PSD;963;50,52 %
PAIAL;55;NEVIO MORTARI;PSD/PSD / PMDB / PSDB / PSB / PC do B / PR;902;51,10 %
PAINEL;15;FLAVIO;PMDB/PMDB / PR;1.192;52,05 %
PALHOÇA;55;CAMILO MARTINS;PSD/PSD / PMDB / PC do B / PEN / PROS / PSB / PSC / PTC / PTN / PP / PR / DEM;51.267;63,12 %
